,Name,Price/KSH,Rating,Review
68,Compeed Anti-Blister Stick 8ml,"KSh 1,360",4 o,
69,Fashion Boho Women Summer Dress Backless Midi Button Polka Dot Striped Floral WOT-TS8022-WED,"KSh 2,487",,
70,Generic Recurve Bow Clicker Archery Positioning Aids Bow Equipment,"KSh 1,565",,
71,Generic For Huawei Honor 9 SIM Card Tray & SIM / Micro SD Card Tray(Grey),KSh 399,,
72,Estroven Weight Management For Menopause Relief 30's,"KSh 4,300",,
73,Travel EyeShade Sleeping Eye Cover Eyepatch Blindfolds For Health Care-Black,KSh 419,3.7,3
74,Generic Window Control Switch Electric Power Fit For Nissan,KSh 435,,
75,Generic Car Phone Holder Stand,KSh 800,,
76,Nillkin Super Frosted Shield Pro Case  Iphone 13 Pro Cover,"KSh 1,499",,
77,Back 2 Nature Baobab Organic Flour,KSh 800,,
78,Generic Redmi Note 10S Case Soft Reading Bear Phone Back Cover,KSh 380,,
79,"Generic Solar Charge Controller, Solar Panel Battery Intelligent Regulator 12V","KSh 1,105 - KSh 1,418",,
80,Generic LED 2.4G Rechargeable Wireless Mouse,KSh 457,4.5,260
81,Blue Band Margarine Original – 1kg,KSh 407,4.6,209
82,Top Fry Vegetable Oil - 2ltr,KSh 725,4.6,201
83,Fashion 4-in-1 Men's Shirts Cotton Short Sleeve T-shirt,"KSh 1,559 - KSh 1,637",4.1,1377
84,Oraimo Smart Watch 1.69'' IPS Screen IP68 Waterproof,"KSh 3,703",4.2,48
85,Generic Wireless Earbuds Bluetooth Headsets 5.0 In-Ear Earphones With Charging Box,KSh 590,5 o,
86,Generic Portable Foldable Shoe Rack Shoes Storage Home Storage,"KSh 1,479",4 o,78
87,Generic 10000mAh Mirror Power Banks LED Slim Fast Charger,KSh 952,3.9,259
88,Edifier M206BT 68Watts Bluetooth Multimedia Speakers,"KSh 5,038",4.4,76
89,Generic 5 By 6 Purple Mosquito Net With  Portable Metallic  Stand,"KSh 1,275",4.1,59
90,NIVEA Indulge Gift Pack,KSh 900,4.8,86
91,NIVEA Nourishing Cocoa Body Lotion With Cocoa Butter 400ml (Pack Of 2),KSh 792,4.8,509
92,Kensalt Iodized Table Salt – 500g,KSh 20,4.6,156
93,Generic False Eyelashes Set 5 Pairs Styles 3D Mixed,KSh 195,4.4,587
94,Fashion Women Shoulder Bags Sling Small Bag Pink,KSh 399,3.6,112
95,"Infinix Smart HD 2021, 6.1"", 32GB + 2GB RAM (Dual SIM), 3G LTE, 5000mAh, Topaz Blue","KSh 9,499",4 o,45
96,Dr. Rashel Vitamin C Face Cream + Face Serum + Eye Serum,KSh 999,4.2,950
97,Garnier New Skin Care Essentials Pack,"KSh 1,866",4.4,2526
98,Fashion Makeup Sponge Foudation Blender Beauty Tools 4 Pcs/ Set,KSh 295,4.7,51
99,Golden All Purpose Home Baking Wheat Flour,KSh 169,4.6,55
100,"Annov Blender & Grinder - 1.6L, 350W + 1Spoon 1Fork- Red","KSh 1,999",4.4,8
101,Garnier Skin Active Pure Charcoal Black Tissue Face Mask,KSh 240,4.5,1476
102,"Infinix Smart HD 2021,6.1"" , 2GB RAM + 32GB ROM, 5000mAh,(DUAL SIM) 3G - Green","KSh 9,895",4 o,45
103,Generic 20Pcs Makeup Brushes Makeup Tools-Black,KSh 399,4.1,563
104,Romantic May 2 IN 1 Mascara And Eyeliner,KSh 89,4 o,32
105,Fashion HOLLOW FIBER PILLOW 600GMS 2PCS,KSh 599,4.4,472
106,Hostess Maize Meal 2kg,KSh 144,4.5,138
107,Fashion Mens Jackets Business Lightweight  Comfort Coat,"KSh 1,060",3.2,29
108,"Nexus NXK-KET-402SS Electric Kettle, 1.8 Litres - Stainless Steel",KSh 849,4.1,2206
109,Generic 1 Duvet 1 Bedsheet 2 Pillowcases - Blue Beige Checked,"KSh 1,450 - KSh 1,850",4.4,26
110,Top Fry Vegetable Oil - 3ltr,KSh 999,4.5,966
111,Fashion Back To School Shoes Genuine Pure Leather,"KSh 688 - KSh 1,099",4 o,3
112,Fashion Women Shoes Ladies Shoes Sneakers Women-red,KSh 628 - KSh 659,3.6,52
113,"Nokia 105 (2019) -1.77"",,kabambe,Dual SIM ,,Black,,","KSh 1,470",4.2,29
114,Generic 5 Layers Shoe Rack Assemble Portable Home Storage,KSh 989,3.9,102
115,Fashion Mother's Day 3pcs Ladies Handbags Set Women Shoulder Bags Leather Waterproof-Pink,"KSh 1,199",3.9,206
116,Garnier Moisture Bomb Hyaluronic Acid & Orange Juice Eye Tissue Mask,KSh 144,4.5,465
117,Fashion Elastic Belt Corset Tummy Shaper,KSh 396,4 o,596
118,NIVEA Soft Moisturizing Cream 75ml (Pack Of 2),KSh 480,4.6,116
119,T&G TG117 Portable Bluetooth Wireless Speaker Black,KSh 850,4 o,7
120,NIVEA Waterlily & Oil Shower Gel For Women 250ml (Pack Of 2),KSh 640,4.6,223
121,Fashion Laptop Bag USB Black  Antitheft Bag,KSh 769,3.2,138
122,Nunix Electric Hand Mixer Whisk Egg Beater Cake Baking Mixer,KSh 793,4.2,97
123,ARHANORY Mother's Day 1.1M Phone Camera Tripod Stand Lightweight-Silver,KSh 999,4 o,48
124,Nutrameal Packed Sugar – 5Kg,KSh 676,4.5,93
125,Jogoo Maize Meal 2Kg - Pack of 12,"KSh 1,759",4.5,34
126,NIVEA Lemongrass & Oil Shower Gel For Women - 250ml (Pack Of 2),KSh 592,4.7,422
127,"XIAOMI Redmi 9C 6.53'', 3GB+64GB, 13MP+2MP+2MP Camera, 4G, Dual SIM - Grey","KSh 13,699",4.3,199
128,Wlisth Top Brand Men Fashion Sport Quartz Business Watch,KSh 981,4.3,136
129,Fashion Men Sneakers Men's Fashion Sneakers Sports Casual Fashion Men's Shoes-white,"KSh 1,190",3.9,293
130,Qwen 32GB Memory Cards High Speed-Blue,KSh 409,4.2,821
131,Generic Bluetooth Music LED Bulb Multi color Speaker,KSh 610,4.1,445
132,Annov Dry Iron  White 1 Spoon 1 Fork,KSh 939,4.6,11
133,Prestige Margarine – Original – 1kg,KSh 346,4.7,265
134,Power King Best 4 Way Power Extension With Long Cable - White,KSh 350,4.2,385
135,Fashion Ladies Official Long Turkey Dresses - Black,KSh 809 - KSh 880,3.4,60
136,Fashion Men Safety Shoes Black Fashion Men Shoes Safety Shoes Steel Steel Lightweight Midsole,"KSh 1,290",3.8,42
137,Dr. Rashel Vitamin C Brightening And Anti Aging Face Cream,KSh 350,4.2,279
138,Fashion Men Comfortable Breathable Light Weight Sneakers,KSh 607 - KSh 799,4.2,439
139,"Geemy Rechargeable Hair Shaving Machine, Shaver- 3 In 1",KSh 815,4.3,128
140,"Fashion Sexiest Black Mock Neck Stretchy Bodycon Dress (Hips 34-42"" Fit)",KSh 404,4.1,166
141,Fashion Stylish Mock Neck Ribbed Bodycon Dress(Hips 36-44inches Fit),KSh 474,4.1,134
142,Daima Fino Bora - 500 ml,KSh 61,,
143,Generic 3-layer Shoe Rack - Bleu,KSh 326,3.6,33
144,Annov 2 Burner Gas Cooker Stainless Steel,"KSh 1,852",3.9,293
145,NIVEA Perfect & Matte Oil Control Face Wash + Cream-Normal/Oily 50ml,KSh 632,4.2,369
146,XIAOMI Redmi 10 6.5'' Inches 6+128GB 50MP Rear Camera 4G Smartphone - Grey,"KSh 22,499",4.3,76
147,Fashion 3PCs Pure Cotton Multicolor Men's Boxers – Multicolor,KSh 566,3.9,238
148,Fashion Men's Lightweight Shoes Breathable Sneakers,KSh 666 - KSh 699,3.8,79
149,Fashion Mens Sneaker Trendy Casual Shoes Sport Shoes Comfortable Sneakers-White,"KSh 1,100",3.8,174
150,Qwen Flash Disks 64GB USB Flash Drive High Speed,KSh 659,4.2,363
151,Fashion Mens Sneakers Mens Fashion Sneakers Trendy Casual Shoes Sport Sneakers,"KSh 1,347 - KSh 1,490",4.1,205
152,"Tecno Obsidian Black POVA NEO, 64GB ROM + 4GB RAM, 6.8'', 6000mAh","KSh 15,489",4.3,124
153,Fashion 2Pcs/Set Couple Luminous Pearl Love Bracelets,KSh 188,,
154,Fashion Genuine Leather Back To School Shoes - Black,"KSh 688 - KSh 1,120",3.5,231
155,"Vitron 32""Inches Smart Android TV+ Free Extension+Aerial+32GB Flash","KSh 16,599",4.3,121
156,Garnier Micellar Cleansing Water - 400ml,KSh 318,4.5,1601
157,Maybelline New York Superstay Matte Ink Liquid Lipstick - 50 Voyager,KSh 850,4.4,860
158,Maybelline New York Superstay Matte Ink Liquid Lipstick - 20 Pioneer,KSh 850,4.5,605
159,Sunlight Hand Washing Powder 1Kg + Free 175g Soap,KSh 360,4.7,82
160,Generic F9 Bluetooth Wireless Earphones Sound Headsets Noise Cancelling HD Binaural Call Earbuds,KSh 720,3.9,108
161,Sunlight Lavender Washing Powder 1kg + Free Soap,KSh 360,4.6,68
162,Postman Vegetable Oil Plastic Jerican - 10Ltr,"KSh 3,104",4.7,18
163,Efero Foot Mask Exfoliating Feet Mask Socks For Pedicure Peeling,KSh 399,4.4,14
164,Garnier Even & Matte Oily Skin Face Moisturizer,KSh 476,4 o,34
165,KBL Ladies Shoes Open Flat Sandals Slip-on Slippers,KSh 242 - KSh 299,4.1,80
